FACTS;MARKETS;CATEGORY;MANUFACTURERS;MAR_2017;APR_2017;MAY_2017;JUN_2017;JUL_2017;AUG_2017;SEP_2017;OCT_2017;NOV_2017;DEC_2017;JAN_2018;FEB_2018
VENTAS EN VOLUMEN KILOS;TOTAL COLOMBIA;CEREALES LISTOS;T. CEREALES LISTOS;1127.4;1071.5;1064;1067.4;1089.6;1068.1;1031;1058;973.9;918.6;967.8;1035
VENTAS EN VOLUMEN KILOS;TOTAL COLOMBIA;CEREALES LISTOS;T. KELLOGG'S;571.6;539.4;540;548.1;556.6;570.1;536.8;549.6;494.5;484.3;500.3;515.2
VENTAS EN VOLUMEN KILOS;TOTAL COLOMBIA;CEREALES LISTOS;T. NESTLE S.A;103.9;102.4;100.3;90.7;109.3;93.6;94;92.9;80.7;76.3;91.7;89.9
VENTAS EN VOLUMEN KILOS;TOTAL COLOMBIA;CEREALES LISTOS;T. PROD QUAKER;13.5;14.1;14;16.5;15.2;14;13.4;13.3;12.9;10.8;10.9;11.5
VENTAS EN VOLUMEN KILOS;TOTAL COLOMBIA;CEREALES LISTOS;T. NUTRESA;21.5;23.3;25;24.5;24.6;23.6;23.8;22.5;21.5;18.1;18.8;21.8
VENTAS EN VOLUMEN KILOS;TOTAL COLOMBIA;CEREALES LISTOS;OTROS FABRICANTES;416.8;392.4;384.7;387.6;383.9;366.7;362.9;379.6;364.4;329;346.1;396.6
VENTAS EN VOLUMEN KILOS;TOTAL ATLANTICO;CEREALES LISTOS;T. CEREALES LISTOS;184.1;172;169.3;178.2;189.4;187.3;180.8;182.1;170;159.7;179.4;185
VENTAS EN VOLUMEN KILOS;TOTAL ATLANTICO;CEREALES LISTOS;T. KELLOGG'S;99.8;90.8;91.6;97.2;102.2;104.3;97.3;97.1;88.1;85.8;94.4;93.8
VENTAS EN VOLUMEN KILOS;TOTAL ATLANTICO;CEREALES LISTOS;T. NESTLE S.A;17.1;17.1;14.9;14.1;18.8;15;16.7;16.5;13.6;13.1;17.4;15.2
VENTAS EN VOLUMEN KILOS;TOTAL ATLANTICO;CEREALES LISTOS;T. PROD QUAKER;1.6;1.7;1.7;2.1;2;2.4;2.5;2.5;2;2;2.1;2
VENTAS EN VOLUMEN KILOS;TOTAL ATLANTICO;CEREALES LISTOS;T. NUTRESA;2.1;2.2;2.4;2.5;2.9;2.6;2.6;2.3;2.2;2;2.1;2.2
VENTAS EN VOLUMEN KILOS;TOTAL ATLANTICO;CEREALES LISTOS;OTROS FABRICANTES;63.5;60.2;58.9;62.4;63.4;63;61.7;63.7;64.1;56.9;63.4;71.8
VENTAS EN VOLUMEN KILOS;TOTAL ORIENTE;CEREALES LISTOS;T. CEREALES LISTOS;136.4;130.3;125.9;122.1;113.5;101.8;98.5;101.4;93.7;92.4;91.9;101.3
VENTAS EN VOLUMEN KILOS;TOTAL ORIENTE;CEREALES LISTOS;T. KELLOGG'S;68.9;65.2;61.9;61.3;59.5;58.4;53.1;54.8;49.7;49.4;50.2;52.9
VENTAS EN VOLUMEN KILOS;TOTAL ORIENTE;CEREALES LISTOS;T. NESTLE S.A;10.9;11.9;11.7;10.3;11.1;9.4;8.6;8.5;7.4;7;8.1;8.5
VENTAS EN VOLUMEN KILOS;TOTAL ORIENTE;CEREALES LISTOS;T. PROD QUAKER;2.7;2.7;2.3;3.1;2.1;1.8;1.5;2.1;2.2;2.1;1.6;1.6
VENTAS EN VOLUMEN KILOS;TOTAL ORIENTE;CEREALES LISTOS;T. NUTRESA;1.5;2;2.2;1.8;1.7;1.7;1.7;1.6;1.5;1.3;1.4;1.5
VENTAS EN VOLUMEN KILOS;TOTAL ORIENTE;CEREALES LISTOS;OTROS FABRICANTES;52.3;48.6;47.8;45.6;39.1;30.5;33.6;34.4;32.9;32.7;30.6;36.8
VENTAS EN VOLUMEN KILOS;TOTAL CUNDINAMARCA;CEREALES LISTOS;T. CEREALES LISTOS;360.1;341.6;350.2;344.2;348.1;349.4;339.6;350.3;317.7;296.8;312.9;337
VENTAS EN VOLUMEN KILOS;TOTAL CUNDINAMARCA;CEREALES LISTOS;T. KELLOGG'S;192.9;181.8;187.5;186.5;184.8;190.7;182.1;189.4;165.1;160.2;161.9;169.3
VENTAS EN VOLUMEN KILOS;TOTAL CUNDINAMARCA;CEREALES LISTOS;T. NESTLE S.A;35.7;34.8;35.6;30.6;37;32.5;32.3;32.6;28.8;25.6;30.9;31.7
VENTAS EN VOLUMEN KILOS;TOTAL CUNDINAMARCA;CEREALES LISTOS;T. PROD QUAKER;5;5.2;5.2;5.5;5.1;5;5;4.7;5.2;3.8;4.5;4.6
VENTAS EN VOLUMEN KILOS;TOTAL CUNDINAMARCA;CEREALES LISTOS;T. NUTRESA;8.6;9.1;10;9.9;9.6;9.5;9.9;9.4;8.9;6.9;7.1;8.9
VENTAS EN VOLUMEN KILOS;TOTAL CUNDINAMARCA;CEREALES LISTOS;OTROS FABRICANTES;117.9;110.7;112;111.8;111.6;111.6;110.4;114.2;109.9;100.4;108.5;122.5
VENTAS EN VALOR $ ('000000);TOTAL COLOMBIA;CEREALES LISTOS;T. CEREALES LISTOS;24720.9;24118.8;23698.7;23802.1;24415.2;24027.3;23424.5;23639.1;22110.4;21217.7;22472.8;23675.5
VENTAS EN VALOR $ ('000000);TOTAL COLOMBIA;CEREALES LISTOS;T. KELLOGG'S;15051.8;14595.2;14496.7;14707.2;14960.9;15116.4;14535.9;14623.5;13554;13333.7;13835.2;14273.6
VENTAS EN VALOR $ ('000000);TOTAL COLOMBIA;CEREALES LISTOS;T. NESTLE S.A;3102.9;3046.6;2863.5;2751.4;3153.1;2844.3;2778;2763.7;2497.8;2383.8;2793.6;2819.3
VENTAS EN VALOR $ ('000000);TOTAL COLOMBIA;CEREALES LISTOS;T. PROD QUAKER;353.9;365.4;360.8;398.1;379.7;376.7;377.5;364.1;350.4;298.8;302.3;323.3
VENTAS EN VALOR $ ('000000);TOTAL COLOMBIA;CEREALES LISTOS;T. NUTRESA;563.2;617;657.6;638.2;637.9;624.5;624.4;593.1;569.9;489.6;511.6;584.1
VENTAS EN VALOR $ ('000000);TOTAL COLOMBIA;CEREALES LISTOS;OTROS FABRICANTES;5649.1;5494.7;5320.2;5307.2;5283.7;5065.4;5108.6;5294.7;5138.3;4711.8;5030.2;5675.2
VENTAS EN VALOR $ ('000000);TOTAL ATLANTICO;CEREALES LISTOS;T. CEREALES LISTOS;4166.8;3963.3;3874.7;4034.9;4336.5;4256.6;4136.3;4135.8;3863.7;3717.1;4164.2;4208.3
VENTAS EN VALOR $ ('000000);TOTAL ATLANTICO;CEREALES LISTOS;T. KELLOGG'S;2699.5;2511.3;2521.9;2661.7;2809.8;2799.1;2669.7;2649;2444.2;2388.9;2620.5;2621.4
VENTAS EN VALOR $ ('000000);TOTAL ATLANTICO;CEREALES LISTOS;T. NESTLE S.A;505.5;499.5;438.5;429.3;532;466;469.4;467.6;415.8;412.1;511.7;470
VENTAS EN VALOR $ ('000000);TOTAL ATLANTICO;CEREALES LISTOS;T. PROD QUAKER;42.7;47.3;42.8;49.6;50.5;63.1;72.7;72;55.9;56.8;57.5;57
VENTAS EN VALOR $ ('000000);TOTAL ATLANTICO;CEREALES LISTOS;T. NUTRESA;56.9;60.8;63.6;66.3;75.7;70.7;70.7;60.6;59.4;54;59.9;61.6
VENTAS EN VALOR $ ('000000);TOTAL ATLANTICO;CEREALES LISTOS;OTROS FABRICANTES;862.3;844.4;808;827.9;868.4;857.7;853.9;886.6;888.3;805.4;914.7;998.2
VENTAS EN VALOR $ ('000000);TOTAL ORIENTE;CEREALES LISTOS;T. CEREALES LISTOS;2925.3;2873.8;2737.9;2671.8;2533.5;2286.3;2205.8;2237.1;2103.5;2073.6;2112.2;2253.9
VENTAS EN VALOR $ ('000000);TOTAL ORIENTE;CEREALES LISTOS;T. KELLOGG'S;1808.9;1755.6;1659.8;1637.3;1598.7;1528.6;1428.9;1445.9;1354;1341.8;1378;1434.5
VENTAS EN VALOR $ ('000000);TOTAL ORIENTE;CEREALES LISTOS;T. NESTLE S.A;321.4;347.4;324.5;300.4;311.4;261.4;245.9;245.5;216.8;208.9;239.6;250.4
VENTAS EN VALOR $ ('000000);TOTAL ORIENTE;CEREALES LISTOS;T. PROD QUAKER;62.1;61;53.2;68.8;48.7;41.8;37.6;49.5;56;50.4;40.4;38.3
VENTAS EN VALOR $ ('000000);TOTAL ORIENTE;CEREALES LISTOS;T. NUTRESA;40.2;54.3;59.3;48.8;45.8;45.1;44.4;41.8;39.6;33.9;35.9;38.5
VENTAS EN VALOR $ ('000000);TOTAL ORIENTE;CEREALES LISTOS;OTROS FABRICANTES;692.6;655.5;641;616.5;528.8;409.3;449;454.5;437.1;438.6;418.3;492.2
VENTAS EN VALOR $ ('000000);TOTAL CUNDINAMARCA;CEREALES LISTOS;T. CEREALES LISTOS;8234.3;8071.8;8132.6;8026.5;8089.8;8120.3;8030.1;8150.1;7575.2;7141.9;7518.4;8055.7
VENTAS EN VALOR $ ('000000);TOTAL CUNDINAMARCA;CEREALES LISTOS;T. KELLOGG'S;5088.6;4983.6;5071.6;5056.6;5006.8;5112.1;4994.4;5070.8;4619.4;4504;4575.4;4788.4
VENTAS EN VALOR $ ('000000);TOTAL CUNDINAMARCA;CEREALES LISTOS;T. NESTLE S.A;1095.3;1060.1;1022.9;951.5;1084.7;992.8;987.5;1008.7;921;822.1;974.9;1035.3
VENTAS EN VALOR $ ('000000);TOTAL CUNDINAMARCA;CEREALES LISTOS;T. PROD QUAKER;149.9;152.3;150.6;153.3;147.3;149.3;150.2;137.9;148.2;114.5;129.2;140.4
VENTAS EN VALOR $ ('000000);TOTAL CUNDINAMARCA;CEREALES LISTOS;T. NUTRESA;228.3;246.4;269.5;258.6;250.6;254;259.9;249.7;240.6;191.5;199.2;242.9
VENTAS EN VALOR $ ('000000);TOTAL CUNDINAMARCA;CEREALES LISTOS;OTROS FABRICANTES;1672.3;1629.3;1618;1606.5;1600.4;1612.1;1638.2;1683;1646;1509.9;1639.8;1848.8
VENTAS EN VOLUMEN KILOS;TOTAL COLOMBIA;CREMAS FACIALES;T. CREMAS FACIALES;84082,94;65050,77;94275,43;70169,48;88418,93;75454,74;91478,91;92480,31;78833,69;100782,74;91499,11;87278,76
VENTAS EN VOLUMEN KILOS;TOTAL COLOMBIA;CREMAS FACIALES;T. UNILEVER;40092,24;29366,57;51237,77;30358,35;41735,6;34939,56;42545,6;39997,83;31909,77;37795,69;32266,45;33637,96
VENTAS EN VOLUMEN KILOS;TOTAL COLOMBIA;CREMAS FACIALES;T. BDF;11422,12;8437,87;11817,38;8187,33;10124,86;8491,27;12896,84;12639,72;11146,34;15338,62;17150,15;11685,35
VENTAS EN VOLUMEN KILOS;TOTAL COLOMBIA;CREMAS FACIALES;T. JOHNSON & JOHNSON;8942,23;5988,44;6262,87;6605,76;8171,68;5874,04;6408,56;8437,09;6260,88;7669,88;6482,06;6356,57
VENTAS EN VOLUMEN KILOS;TOTAL COLOMBIA;CREMAS FACIALES;T. L'OREAL;3787,71;3482,58;4430,67;3148,22;4389,17;3518,05;4768,08;3958,55;3368,24;4367,81;3868,36;3300,6
VENTAS EN VOLUMEN KILOS;TOTAL COLOMBIA;CREMAS FACIALES;OTROS FABRICANTES;15304,49;14298,7;16550,78;17819,67;18938,47;18722,25;20657,15;22674,09;22019,89;30602;28010,54;28459,12
VENTAS EN VOLUMEN KILOS;TOTAL ATLANTICO;CREMAS FACIALES;T. CREMAS FACIALES;11744,17;10039,01;13309,29;10324,93;12613,92;10726,4;13185,1;12860,83;12415,23;16356,07;15304,82;14053,73
VENTAS EN VOLUMEN KILOS;TOTAL ATLANTICO;CREMAS FACIALES;T. UNILEVER;5467,04;4471,84;6283,13;4415,03;5755,44;4858,58;5560,11;5301,16;4884,23;5538,19;5054,88;5074,56
VENTAS EN VOLUMEN KILOS;TOTAL ATLANTICO;CREMAS FACIALES;T. BDF;1247,77;905;1299,57;816,44;1074,17;819,63;1381,76;1391,08;1259,6;1739,62;1930,07;1260,98
VENTAS EN VOLUMEN KILOS;TOTAL ATLANTICO;CREMAS FACIALES;T. JOHNSON & JOHNSON;1155,81;1008,04;921,94;1089,68;1210,84;944,22;998,52;1177,11;1007,28;1249,77;1171,39;1007,69
VENTAS EN VOLUMEN KILOS;TOTAL ATLANTICO;CREMAS FACIALES;T. L'OREAL;567,89;578,13;740,47;480,36;674,01;511,09;793,31;505,87;563,56;658,11;673,11;519,96
VENTAS EN VOLUMEN KILOS;TOTAL ATLANTICO;CREMAS FACIALES;OTROS FABRICANTES;2752,59;2609,43;3555,63;3026,02;3268,27;3139,05;3966,02;4080,66;4258,67;6595,75;5945,26;5719,83
VENTAS EN VOLUMEN KILOS;TOTAL ORIENTE;CREMAS FACIALES;T. CREMAS FACIALES;7925,8;6589,23;9572,55;7049,12;8588,5;7153,72;8327,71;9196,21;7373,63;8570,11;8326,25;7905,33
VENTAS EN VOLUMEN KILOS;TOTAL ORIENTE;CREMAS FACIALES;T. UNILEVER;4755,3;3820,75;6479,55;3997,57;4995,44;4051,45;4511,77;4959,66;3533,05;4116,11;3683,12;3897,39
VENTAS EN VOLUMEN KILOS;TOTAL ORIENTE;CREMAS FACIALES;T. BDF;923,58;726,26;914,49;624,79;728,2;626,75;916,76;900,72;850,04;1101,47;1250,47;886,87
VENTAS EN VOLUMEN KILOS;TOTAL ORIENTE;CREMAS FACIALES;T. JOHNSON & JOHNSON;592,75;447,92;442,65;461,9;611,3;489,62;514,64;598,33;450,19;559,08;525,29;480,21
VENTAS EN VOLUMEN KILOS;TOTAL ORIENTE;CREMAS FACIALES;T. L'OREAL;316,95;288,65;282,53;241,51;376,76;269,19;295,91;345,47;248,78;309,2;333,89;222,17
VENTAS EN VOLUMEN KILOS;TOTAL ORIENTE;CREMAS FACIALES;OTROS FABRICANTES;1010,4;1000,73;1058,42;1282,59;1356,06;1335,23;1473,37;1580,63;1565,44;1703,6;1992,41;1934,06
VENTAS EN VOLUMEN KILOS;TOTAL CUNDINAMARCA;CREMAS FACIALES;T. CREMAS FACIALES;31326,91;23824,77;36233,41;26741,46;33278,11;27948,23;35795,29;34455,77;29447,17;37656,44;32363,25;33346,13
VENTAS EN VOLUMEN KILOS;TOTAL CUNDINAMARCA;CREMAS FACIALES;T. UNILEVER;14379,58;9619,53;18209,25;10231,44;14746,79;11732,28;15529,44;13809,66;10924,52;13104,33;10396,47;11538,49
VENTAS EN VOLUMEN KILOS;TOTAL CUNDINAMARCA;CREMAS FACIALES;T. BDF;4976,46;3701,86;5597,25;3852,29;4410,63;3797,56;5862,04;5749,55;4881,28;6821,09;7495;5521,46
VENTAS EN VOLUMEN KILOS;TOTAL CUNDINAMARCA;CREMAS FACIALES;T. JOHNSON & JOHNSON;3683,62;2577,38;2863,87;3174,35;3351,21;2543,21;2918,42;3503,19;2796,64;3309,57;2466,81;2841,8
VENTAS EN VOLUMEN KILOS;TOTAL CUNDINAMARCA;CREMAS FACIALES;T. L'OREAL;1668,13;1608,38;2273,71;1497,79;1930,48;1675,37;2630,13;1818,85;1679,87;2126,37;1814,24;1702,63
VENTAS EN VOLUMEN KILOS;TOTAL CUNDINAMARCA;CREMAS FACIALES;OTROS FABRICANTES;4900,37;5023,21;5636,96;6298,15;6650,68;6645,05;7265,98;7922,92;7726,25;10486,14;9057,3;10343,19
VENTAS EN VALOR $ ('000000);TOTAL COLOMBIA;CREMAS FACIALES;T. CREMAS FACIALES;15913,56;12267,74;17167,75;12223,36;15957,64;13055,04;15122,02;14926,43;12370,19;16575,15;14400,46;14033,41
VENTAS EN VALOR $ ('000000);TOTAL COLOMBIA;CREMAS FACIALES;T. UNILEVER;7954,45;5820,32;9640,07;6003,71;7925,46;6671,91;7509,33;7344,26;5805,59;7430,22;6156,85;6616,41
VENTAS EN VALOR $ ('000000);TOTAL COLOMBIA;CREMAS FACIALES;T. BDF;2462,92;1886,37;2635,6;1758,36;2314,81;1888,16;2793,01;2718,07;2309,59;3272,57;3013,27;2325,37
VENTAS EN VALOR $ ('000000);TOTAL COLOMBIA;CREMAS FACIALES;T. JOHNSON & JOHNSON;971,82;761,88;847,6;899,21;1049,55;838,74;856,85;961,73;805,95;976,81;881,41;854,49
VENTAS EN VALOR $ ('000000);TOTAL COLOMBIA;CREMAS FACIALES;T. L'OREAL;1193,42;1032,4;1111,47;884,26;1196,26;911,05;1061,93;1010,89;837,12;1171,29;979,57;846,94
VENTAS EN VALOR $ ('000000);TOTAL COLOMBIA;CREMAS FACIALES;OTROS FABRICANTES;1879,78;1843,01;1913,77;1784,88;2046,23;1822,62;1794,84;1693,75;1712,56;2411,3;2542,39;2463,66
VENTAS EN VALOR $ ('000000);TOTAL ATLANTICO;CREMAS FACIALES;T. CREMAS FACIALES;1873,59;1624,61;1996,06;1508,82;1922,49;1597,39;1843,32;1740,73;1613,6;2116,56;1934,22;1820,65
VENTAS EN VALOR $ ('000000);TOTAL ATLANTICO;CREMAS FACIALES;T. UNILEVER;1020,77;837,51;1132,26;795,54;1014,1;879,86;959,22;925,57;829,89;1020,3;902,06;937,07
VENTAS EN VALOR $ ('000000);TOTAL ATLANTICO;CREMAS FACIALES;T. BDF;236,31;191,48;251,64;159,56;220,35;162,41;281,5;265,93;243,05;336,45;317,3;236,59
VENTAS EN VALOR $ ('000000);TOTAL ATLANTICO;CREMAS FACIALES;T. JOHNSON & JOHNSON;130,02;123,85;120,35;138;149,93;124,65;125,65;134,7;119,98;147,83;145,88;128,96
VENTAS EN VALOR $ ('000000);TOTAL ATLANTICO;CREMAS FACIALES;T. L'OREAL;137,42;136,21;139,97;106,31;154,21;110,03;140,71;104,47;104,99;142,07;129,84;102,59
VENTAS EN VALOR $ ('000000);TOTAL ATLANTICO;CREMAS FACIALES;OTROS FABRICANTES;212,59;208,41;217,88;201,11;225,97;207,68;205,42;197,69;199,5;302,09;307,87;297,84
VENTAS EN VALOR $ ('000000);TOTAL ORIENTE;CREMAS FACIALES;T. CREMAS FACIALES;1455,62;1231,55;1778,83;1237,35;1503,93;1192,85;1327,6;1408,17;1114,75;1393,78;1311,91;1265,75
VENTAS EN VALOR $ ('000000);TOTAL ORIENTE;CREMAS FACIALES;T. UNILEVER;926,43;757,88;1244,3;808,4;976,31;769,22;805,53;893,65;655,79;800,04;707,9;747
VENTAS EN VALOR $ ('000000);TOTAL ORIENTE;CREMAS FACIALES;T. BDF;162,29;138,57;206,85;122,21;146,83;133,72;182,26;169,37;159,55;214,35;204,81;156,7
VENTAS EN VALOR $ ('000000);TOTAL ORIENTE;CREMAS FACIALES;T. JOHNSON & JOHNSON;61,69;54,45;57,57;59,62;74,42;63,57;63,87;65,02;54,63;68,57;67,39;58,31
VENTAS EN VALOR $ ('000000);TOTAL ORIENTE;CREMAS FACIALES;T. L'OREAL;94,55;82,65;80,02;70,51;94,89;67,22;79,02;85,52;64,96;83,94;85,39;64,7
VENTAS EN VALOR $ ('000000);TOTAL ORIENTE;CREMAS FACIALES;OTROS FABRICANTES;156,61;152,85;149,5;132,67;158,06;123,76;144,44;134,22;132,02;172,04;201,17;198,38
VENTAS EN VALOR $ ('000000);TOTAL CUNDINAMARCA;CREMAS FACIALES;T. CREMAS FACIALES;6416;4956,7;7139,72;5127,56;6436,08;5319,99;6411,51;6071,57;5097,63;6974,67;5695,93;5852,08
VENTAS EN VALOR $ ('000000);TOTAL CUNDINAMARCA;CREMAS FACIALES;T. UNILEVER;2923,3;1974,04;3457;2073,39;2782,52;2295,19;2715,31;2594,11;1985;2628,8;2025,57;2333,55
VENTAS EN VALOR $ ('000000);TOTAL CUNDINAMARCA;CREMAS FACIALES;T. BDF;1120,86;886,7;1293,53;863,64;1045,06;883,96;1344,72;1288,23;1062,07;1549,63;1374,6;1117,36
VENTAS EN VALOR $ ('000000);TOTAL CUNDINAMARCA;CREMAS FACIALES;T. JOHNSON & JOHNSON;409,41;330,36;378,79;419,68;438,44;367,25;389,03;401,49;366,59;421,29;345,59;383,03
VENTAS EN VALOR $ ('000000);TOTAL CUNDINAMARCA;CREMAS FACIALES;T. L'OREAL;554,94;497,43;560,75;441,92;562,53;455,79;545,17;492,97;425,76;571,68;469,44;440,2
VENTAS EN VALOR $ ('000000);TOTAL CUNDINAMARCA;CREMAS FACIALES;OTROS FABRICANTES;727,2;756,31;831,15;800,8;872,23;766,09;741,61;690,9;723,83;1006,5;1027,08;1015,12